SampleID,Latitude,Longitude,Date,Year,Source,SiteName,Detection,Type
86,36.153272,-120.359727,1/1/22,2022,JT_Coalinga,los.gatos.creek,Weak Positive (3 Wells),Soil
87,36.153306,-120.360567,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
88,36.1533697,-120.3621585,8/1/20,2020,JT_Coalinga,los.gatos.creek,Weak Positive (3 Wells),Soil
89,36.153499,-120.359694,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
90,36.1535168,-120.3620566,8/1/20,2020,JT_Coalinga,los.gatos.creek,Weak Positive (3 Wells),Soil
91,36.1535168,-120.3620566,8/1/20,2020,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
92,36.15376,-120.361582,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
93,36.1537942,-120.3630334,8/1/20,2020,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
94,36.1539214,-120.362884,8/1/20,2020,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
95,36.154368,-120.3636389,8/1/20,2020,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
96,36.1544742,-120.3635431,8/1/20,2020,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
97,36.156978,-120.251305,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
98,36.157736,-120.251356,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
99,36.158145,-120.25042,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
100,36.158285,-120.250916,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
101,36.158611,-120.25053,1/1/22,2022,JT_Coalinga,los.gatos.creek,Strong Positive (4 Wells),Soil
102,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1179927.43,Soil
103,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1407172.71,Soil
104,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1651898.4,Soil
105,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,728932.946,Soil
106,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1031343.98,Soil
107,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1101265.6,Soil
108,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,812838.897,Soil
109,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,1223628.45,Soil
110,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,542766.618,Soil
111,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,774382.003,Soil
112,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,864406.096,Soil
113,35.176195,-119.52282,10/23/18,2018,JT_Highway33,NA,69659.4194,Soil
